year,weight,gender,race1R,hispanic,ethnic1R,age,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2010,3721.35064,1,1,2,1,6,1,88,1,2,1,4,1,2,0,1,4,2,0,0,2,1
2010,3869.94912,1,1,2,1,5,1,5,1,2,1,3,2,2,0,1,4,2,0,0,2,1
2010,3985.8349,1,1,2,1,5,1,5,1,3,2,4,2,1,3,1,3,1,0,0,2,3
2010,3985.8349,1,1,2,1,5,1,5,1,3,2,4,2,1,3,1,3,1,0,0,2,3
2010,3888.21675,2,1,2,1,7,1,5,1,1,1,2,1,2,0,1,4,2,1,2,2,1
2010,3441.49339,2,1,2,1,6,5,2,0,3,2,4,2,1,3,1,3,1,0,0,2,3
2010,5698.93358,1,2,2,2,6,4,88,1,1,2,4,2,2,0,1,4,2,0,0,2,1
2010,2444.785,1,1,2,1,5,2,7,1,1,3,4,2,2,0,1,4,2,0,0,2,5
2010,5551.60532,1,1,1,4,5,1,88,5,1,1,4,2,1,2,1,2,1,1,2,2,3
2010,5723.15066,1,1,2,1,4,1,88,1,4,3,4,1,2,0,1,4,2,1,1,2,1
2010,1944.50434,1,1,2,1,8,2,88,0,1,3,2,1,2,0,1,4,2,1,1,2,1
2010,2352.71777,2,1,1,4,6,5,88,0,1,3,2,1,2,0,1,4,2,1,1,2,1
2010,5429.77492,2,2,2,2,6,1,5,1,1,2,1,1,2,0,1,4,2,1,2,2,1
2010,2664.95621,2,2,1,4,4,1,5,5,1,1,1,1,2,0,1,4,2,0,0,1,1
2010,2664.95621,2,2,1,4,4,1,5,5,1,1,3,2,2,0,1,4,2,0,0,2,3
2010,3731.63687,1,1,2,1,7,5,7,4,2,1,4,2,3,5,1,4,2,0,0,2,3
2010,3576.09872,2,1,1,4,6,2,4,5,1,1,1,1,2,0,1,4,2,0,0,2,1
2010,2187.82315,2,1,2,1,7,4,7,1,1,2,2,2,2,0,1,4,2,0,0,2,1
2010,2187.82315,2,1,2,1,7,4,7,1,1,2,2,1,2,0,1,2,1,1,1,2,1
2010,2798.78084,1,1,2,1,8,4,7,1,2,2,4,2,2,0,1,2,1,0,0,2,5
2010,4861.01069,2,2,2,2,3,1,2,3,1,1,4,2,1,1,1,2,1,0,0,2,3
2010,3494.31007,1,1,2,1,7,5,5,0,1,2,4,2,2,0,1,4,2,0,0,2,3
2010,2961.78031,2,1,2,1,6,1,88,1,4,3,1,1,2,0,1,4,2,1,2,1,2
2010,3309.75156,1,2,2,2,5,1,6,2,2,1,4,2,1,1,1,3,1,1,1,2,3
2010,3696.72877,2,1,1,4,1,1,88,1,4,1,3,1,2,0,1,4,2,1,1,2,4
2010,3513.65794,1,1,2,1,4,1,6,5,1,1,5,1,1,1,1,2,1,0,0,2,3
2010,3375.5066,2,2,2,2,6,2,5,1,2,3,3,2,2,0,1,4,2,0,0,2,3
2010,3443.33964,1,1,2,1,7,2,88,1,1,3,2,1,2,0,1,4,2,1,2,2,1
2010,3443.33964,1,1,2,1,7,2,88,1,1,3,2,1,2,0,1,4,2,1,2,2,1
2010,3882.92273,1,1,2,1,3,1,1,5,1,1,4,1,3,5,1,3,1,1,2,2,1
2010,4969.2617,1,1,2,1,2,1,4,0,1,2,3,2,2,0,1,2,1,1,1,2,2
2010,2336.13702,2,1,2,1,5,1,6,0,1,2,1,1,2,0,1,4,2,1,1,2,1
2010,4785.87022,2,2,2,2,1,1,6,5,1,1,2,1,2,0,1,1,1,0,0,1,2
2010,3651.2234,2,1,2,1,6,3,2,0,2,2,2,1,2,0,1,2,1,0,0,1,1
2010,6017.29157,1,1,2,1,6,1,88,1,1,1,3,2,2,0,1,4,2,0,0,2,3
2010,4368.57167,2,1,2,1,4,1,6,1,2,2,5,1,2,0,1,4,2,0,0,2,3
2010,3149.75558,1,1,2,1,3,1,7,0,2,2,4,1,2,0,1,2,1,1,1,2,3
2010,3217.66751,1,1,2,1,7,4,88,5,3,1,5,2,1,2,1,3,1,1,1,2,3
2010,3069.44624,2,1,2,1,6,2,7,1,2,2,6,1,2,0,2,5,3,0,0,2,3
2010,2797.37929,2,1,2,1,6,4,88,1,2,2,1,2,2,0,1,4,2,1,1,2,1
2010,2797.37929,2,1,2,1,6,4,88,1,2,2,1,2,2,0,1,4,2,1,1,2,1
